acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,genus,genusKey,species,speciesKey,iucnRedListCategory,splitScientificName,splitExtras,commonName,Subspecies
"Xenops minutus (Sparrman, 1788)",413,SPECIES,ACCEPTED,Xenops,2485652.0,Xenops minutus,5230220.0,LC,Xenops minutus,"(Sparrman, 1788)",Atlantic Plain Xenops,
"Anabacerthia variegaticeps (P.L.Sclater, 1857)",3791,SPECIES,ACCEPTED,Anabacerthia,2485681.0,Anabacerthia variegaticeps,2485691.0,LC,Anabacerthia variegaticeps,"(P.L.Sclater, 1857)",Scaly-throated Foliage-Gleaner,"Anabacerthia variegaticeps temporalis, 0.003440974060349391"
"Philydor rufum (Vieillot, 1818)",4596,SPECIES,SYNONYM,Philydor,2485696.0,Philydor rufum,2485712.0,NE,Dendroma rufa,"(Vieillot, 1818)",Buff-fronted Foliage-Gleaner,
"Philydor rufum (Vieillot, 1818)",15,SPECIES,ACCEPTED,Philydor,2485696.0,Philydor rufum,2485712.0,LC,Philydor rufum,"(Vieillot, 1818)",Buff-fronted Foliage-Gleaner,"Dendroma rufa riveti, 12.0; Philydor rufum riveti, 0.15384615384615385"
"Automolus rubiginosus (P.L.Sclater, 1857)",307,SPECIES,SYNONYM,Automolus,2485730.0,Automolus rubiginosus,5230262.0,LC,Clibanornis rubiginosus,"(P.L.Sclater, 1857)",Ruddy Foliage-Gleaner,
"Dendrocolaptes sanctithomae (Lafresnaye, 1852)",9,SPECIES,ACCEPTED,Dendrocolaptes,2485784.0,Dendrocolaptes sanctithomae,2485796.0,LC,Dendrocolaptes sanctithomae,"(Lafresnaye, 1852)",Northern Barred Woodcreeper,
"Furnarius leucopus cinnamomeus (Lesson, 1844)",4063,SPECIES,SYNONYM,Furnarius,2485812.0,Furnarius leucopus,9309489.0,LC,Furnarius cinnamomeus,"(R.P.Lesson, 1844)",Pacific Hornero,
"Margarornis squamiger (Orbigny & Lafresnaye, 1838)",84,SPECIES,ACCEPTED,Margarornis,2485841.0,Margarornis squamiger,2485847.0,LC,Margarornis squamiger,"(Orbigny & Lafresnaye, 1838)",Pearled Treerunner,
"Campylorhamphus pusillus (P.L.Sclater, 1860)",10,SPECIES,ACCEPTED,Campylorhamphus,2485916.0,Campylorhamphus pusillus,2485937.0,LC,Campylorhamphus pusillus,"(P.L.Sclater, 1860)",Brown-billed Scythebill,
"Dendrocincla fuliginosa (Vieillot, 1818)",2553,SPECIES,ACCEPTED,Dendrocincla,2485949.0,Dendrocincla fuliginosa,2485950.0,LC,Dendrocincla fuliginosa,"(Vieillot, 1818)",Plain-brown Woodcreeper,"Dendrocincla fuliginosa ridgwayi, 0.004327301337529505"
