taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2489871	Protonotaria citrea (Boddaert, 1783)	2489871	Protonotaria citrea (Boddaert, 1783)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Parulidae	5263	Protonotaria	2489870	Protonotaria citrea	2489871	LC
6092915	Dysithamnus mentalis aequatorialis Todd, 1916	6092915	Dysithamnus mentalis aequatorialis Todd, 1916	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Thamnophilidae	5286	Dysithamnus	2490027	Dysithamnus mentalis	2490033	
2487430	Vireo olivaceus (Linnaeus, 1766)	2487430	Vireo olivaceus (Linnaeus, 1766)	13	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Vireonidae	9358	Vireo	2487406	Vireo olivaceus	2487430	LC
5228474	Colibri coruscans (Gould, 1846)	5228474	Colibri coruscans (Gould, 1846)	2280	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Apodiformes	1448	Trochilidae	5289	Colibri	5228473	Colibri coruscans	5228474	LC
2482549	Cyanolyca turcosa (Bonaparte, 1853)	2482549	Cyanolyca turcosa (Bonaparte, 1853)	85	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Corvidae	5235	Cyanolyca	2482541	Cyanolyca turcosa	2482549	LC
2492007	Oreothraupis arremonops (P.L.Sclater, 1855)	2492007	Oreothraupis arremonops (P.L.Sclater, 1855)	7	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Passerellidae	9410667	Oreothraupis	2492006	Oreothraupis arremonops	2492007	LC
2495892	Columbina buckleyi (P.L.Sclater & Salvin, 1877)	2495892	Columbina buckleyi (P.L.Sclater & Salvin, 1877)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Columbiformes	1446	Columbidae	5233	Columbina	2495852	Columbina buckleyi	2495892	LC
2497311	Asio stygius (Wagler, 1832)	2497311	Asio stygius (Wagler, 1832)	270	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Strigiformes	1450	Strigidae	9348	Asio	8373955	Asio stygius	2497311	LC
7192340	Pipreola arcuata arcuata	7192340	Pipreola arcuata arcuata	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Cotingidae	5236	Pipreola	2486358	Pipreola arcuata	2486368	
5230377	Rupicola peruvianus sanguinolentus Gould, 1859	5230377	Rupicola peruvianus sanguinolentus Gould, 1859	11	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Cotingidae	5236	Rupicola	2486333	Rupicola peruvianus	5230374	
9504121	Mionectes olivaceus Lawrence, 1868	9504121	Mionectes olivaceus Lawrence, 1868	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Mionectes	2482811	Mionectes olivaceus	9504121	LC
2474639	Porzana carolina (Linnaeus, 1758)	2474639	Porzana carolina (Linnaeus, 1758)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Gruiformes	1493	Rallidae	9342	Porzana	2474604	Porzana carolina	2474639	LC
