internalTaxonId,scientificName,maincommonName,altcommonNames
22724209,Agelaius xanthomus,Yellow-shouldered Blackbird,
22679545,Agelastes meleagrides,White-breasted Guineafowl,
22679551,Agelastes niger,Black Guineafowl,
22724184,Agelasticus cyanopus,Unicoloured Blackbird,Unicolored Blackbird
22724178,Agelasticus thilius,Yellow-winged Blackbird,
22724172,Agelasticus xanthophthalmus,Pale-eyed Blackbird,
22687794,Aglaeactis aliciae,Purple-backed Sunbeam,
22687791,Aglaeactis castelnaudii,White-tufted Sunbeam,
22687788,Aglaeactis cupripennis,Shining Sunbeam,
22687798,Aglaeactis pamela,Black-hooded Sunbeam,
22733891,Aglaiocercus berlepschi,Venezuelan Sylph,
22688059,Aglaiocercus coelestis,Violet-tailed Sylph,
22733886,Aglaiocercus kingii,Long-tailed Sylph,
22720546,Agraphospiza rubescens,Blanford's Rosefinch,Crimson Rosefinch
22709040,Agricola infuscatus,Chat-flycatcher,Chat Flycatcher
22709035,Agricola pallidus,Pallid Flycatcher,Pale Flycatcher
22700081,Agriornis albicauda,White-tailed Shrike-Tyrant,White-tailed Shrike-tyrant
22700095,Agriornis lividus,Great Shrike-Tyrant,Great Shrike-tyrant
22700104,Agriornis micropterus,Grey-bellied Shrike-tyrant,"Grey-bellied Shrike-Tyrant, Gray-bellied Shrike-Tyrant"
22700072,Agriornis montanus,Black-billed Shrike-tyrant,Black-billed Shrike-Tyrant
22700114,Agriornis murinus,Lesser Shrike-tyrant,Lesser Shrike-Tyrant
22710874,Agropsar philippensis,Chestnut-cheeked Starling,
22710870,Agropsar sturninus,Purple-backed Starling,Daurian Starling
22703618,Ailuroedus buccoides,White-eared Catbird,
22703624,Ailuroedus crassirostris,Green Catbird,
22703621,Ailuroedus melanotis,Black-eared Catbird,Spotted Catbird
22721291,Aimophila notosticta,Oaxaca Sparrow,
22721294,Aimophila rufescens,Rusty Sparrow,
22721288,Aimophila ruficeps,Rufous-crowned Sparrow,
22680107,Aix galericulata,Mandarin Duck,Mandarin
22680104,Aix sponsa,Wood Duck,
103823212,Akialoa ellisiana,Oahu Akialoa,
103823431,Akialoa lanaiensis,Lanai Akialoa,
22728910,Akialoa obscura,Hawaii Akialoa,
103823250,Akialoa stejnegeri,Kauai Akialoa,
22701838,Akletos goeldii,Goeldi's Antbird,
22701835,Akletos melanoceps,White-shouldered Antbird,
22717262,Alaemon alaudipes,Greater Hoopoe Lark,"Greater Hoopoe-lark, Greater Hoopoe-Lark, Hoopoe Lark, Hoopoe-Lark"
22717270,Alaemon hamertoni,Lesser Hoopoe-lark,Lesser Hoopoe-Lark
102998555,Alauda arvensis,Sky Lark,"Eurasian Skylark, Skylark"
22717424,Alauda gulgula,Small Skylark,Oriental Skylark
22717298,Alauda leucoptera,White-winged Lark,
22717428,Alauda razae,Raza Island Lark,"Razo Lark, Raso Lark"
216912565,Alaudala cheleensis,Asian Short-toed Lark,
216912582,Alaudala heinei,Turkestan Short-toed Lark,
22717336,Alaudala raytal,Sand Lark,Indian Short-toed Lark
216912644,Alaudala rufescens,Mediterranean Short-toed Lark,
22717340,Alaudala somalica,Rufous Short-toed Lark,Somali Short-toed Lark
22694852,Alca torda,Razorbill,
22683027,Alcedo atthis,Common Kingfisher,"European Kingfisher, Kingfisher"
22683117,Alcedo coerulescens,Cerulean Kingfisher,Cerulean Kingfisher
22726971,Alcedo euryzona,Blue-banded Kingfisher,Javan Blue-banded Kingfisher
22683024,Alcedo hercules,Blyth's Kingfisher,
22683042,Alcedo meninting,Blue-eared Kingfisher,
22726979,Alcedo peninsulae,Malay Blue-banded Kingfisher,
22683037,Alcedo quadribrachys,Shining-blue Kingfisher,Shining-blue Kingfisher
22683033,Alcedo semitorquata,Half-collared Kingfisher,
22716630,Alcippe brunneicauda,Brown Fulvetta,
22734608,Alcippe grotei,Black-browed Fulvetta,
22716644,Alcippe morrisonia,Grey-cheeked Fulvetta,
22716647,Alcippe nipalensis,Nepal Fulvetta,
22735187,Alcippe peracensis,Mountain Fulvetta,
22716633,Alcippe poioicephala,Brown-cheeked Fulvetta,
22716636,Alcippe pyrrhoptera,Javan Fulvetta,
22712607,Alcurus striatus,Striated Bulbul,
22705428,Aleadryas rufinucha,Rufous-naped Whistler,Rufous-naped Bellbird
22678707,Alectoris barbara,Barbary Partridge,
22678691,Alectoris chukar,Chuckar,"Chukar Partridge, Chukar"
22678684,Alectoris graeca,Rock Partridge,
22678703,Alectoris magna,Przevalski's Partridge,Przevalski's Partridge
22678714,Alectoris melanocephala,Arabian Red-legged Partridge,Arabian Partridge
22678698,Alectoris philbyi,Philby's Partridge,Philby's Rock Partridge
22678711,Alectoris rufa,Red-legged Partridge,
22691588,Alectroenas madagascariensis,Madagascar Blue Pigeon,"Madagascar Blue-pigeon, Madagascar Blue-Pigeon"
22691601,Alectroenas nitidissimus,Mauritius Blue-pigeon,Mauritius Blue-Pigeon
62759683,Alectroenas payandeei,Rodrigues Blue-pigeon,
22691605,Alectroenas pulcherrimus,Seychelles Blue Pigeon,"Seychelles Blue-pigeon, Seychelles Blue-Pigeon"
22691594,Alectroenas sganzini,Comoro Blue-Pigeon,"Comoro Blue-pigeon, Comoro Blue Pigeon, Comoros Blue Pigeon"
22700303,Alectrurus risora,Strange-tailed Tyrant,
22700300,Alectrurus tricolor,Cock-tailed Tyrant,
22678551,Alectura lathami,Australian Brushturkey,Australian Brush-turkey
22709022,Alethe castanea,Fire-crested Alethe,
22730755,Alethe diademata,White-tailed Alethe,
22685448,Alexandrinus eques,Mascarene Parrakeet,Echo Parakeet
22685465,Alexandrinus exsul,Rodrigues Parakeet,
22685441,Alexandrinus krameri,Rose-ringed Parrakeet,"Ring-necked Parakeet, Rose-ringed Parakeet"
22686311,Alipiopsitta xanthops,Yellow-faced Parrot,Yellow-faced Amazon
22685051,Alisterus amboinensis,Moluccan King-parrot,"Ambon King-parrot, Moluccan King Parrot, Moluccan King-Parrot"
22685058,Alisterus chloropterus,Papuan King-Parrot,"Papuan King-parrot, Papuan King Parrot"
22685046,Alisterus scapularis,Australian King-parrot,"Australian King Parrot, Australian King-Parrot"
22694837,Alle alle,Little Auk,Dovekie
22711140,Allenia fusca,Scaly-breasted Thrasher,
103821243,Alophoixus bres,Brown-cheeked Bulbul,
22713140,Alophoixus flaveolus,White-throated Bulbul,
103821499,Alophoixus frater,Palawan Bulbul,
103819928,Alophoixus griseiceps,Grey-crowned Bulbul,
103821072,Alophoixus ochraceus,Ochraceous Bulbul,
103819799,Alophoixus pallidus,Puff-throated Bulbul,
22713152,Alophoixus phaeocephalus,Yellow-bellied Bulbul,
103821125,Alophoixus ruficrissus,Chestnut-vented Bulbul,
103821318,Alophoixus tephrogenys,Grey-cheeked Bulbul,
22712146,Alopochelidon fucata,Tawny-headed Swallow,
22679993,Alopochen aegyptiaca,Egyptian Goose,
22729490,Alopochen kervazoi,Reunion Shelduck,Réunion Shelduck
22728658,Alopochen mauritiana,Mauritius Shelduck,Mauritian Shelduck
22719932,Amadina erythrocephala,Red-headed Finch,
22719927,Amadina fasciata,Cut-throat,Cut-throat Finch
22704761,Amalocichla incerta,Lesser Ground Robin,Lesser Ground-robin
22704757,Amalocichla sclateriana,Greater Ground Robin,Greater Ground-robin
22719614,Amandava amandava,Red Avadavat,
22719618,Amandava formosa,Green Avadavat,
22719624,Amandava subflava,Orange-breasted Waxbill,Zebra Waxbill
22715170,Amaurocichla bocagii,Sao Tome Short-tail,"Bocage's Longbill, São Tomé Short-tail"
22692601,Amaurolimnas concolor,Uniform Crake,
22692723,Amaurornis cinerea,White-browed Crake,
22692624,Amaurornis isabellina,Isabelline Bush-hen,Isabelline Bush-hen
22732147,Amaurornis magnirostris,Talaud Bush-hen,
22692729,Amaurornis marginalis,Striped Crake,
22692632,Amaurornis moluccana,Pale-vented Bush-hen,Pale-vented Bush-hen
22692616,Amaurornis olivacea,Philippine Bush-hen,Plain Bush-hen
22692640,Amaurornis phoenicurus,White-breasted Waterhen,
105965570,Amaurospiza moesta,Blue Seedeater,Blackish-blue Seedeater
22723554,Amaurospiza relicta,Slate-blue Seedeater,
119194112,Amazilia alfaroana,Guanacaste Hummingbird,
22687562,Amazilia boucardi,Mangrove Hummingbird,
119194033,Amazilia cyanifrons,Indigo-capped Hummingbird,
