gbif_scientificName,wiki_commonName
Nephelomyias pulcher pulcher,Handsome Flycatcher
Myiophobus flavicans,Flavescent Flycatcher
Myiophobus flavicans flavicans,Flavescent Flycatcher
Myiophobus phoenicomitra,Orange-crested Flycatcher
Myiophobus phoenicomitra litae,Orange-crested Flycatcher
Myiophobus crypterythrus,Mouse-gray Flycatcher
Myiophobus fasciatus,Bran-colored Flycatcher
Myiophobus fasciatus crypterythrus,Bran-colored Flycatcher
Lonchura malacca,Tricoloured Munia
Cacicus uropygialis,Subtropical Cacique
Cacicus microrhynchus,Scarlet-rumped Cacique
Cacicus cela,Yellow-rumped Cacique
Psarocolius angustifrons,Russet-backed Oropendola
Psarocolius angustifrons atrocastaneus,Russet-backed Oropendola
Leistes militaris,Red-breasted Meadowlark
Icterus mesomelas,Yellow-tailed Oriole
Molothrus oryzivorus,Giant Cowbird
Scaphidura oryzivora,Giant Cowbird
Molothrus bonariensis,Shiny Cowbird
Amblycercus holosericeus,Yellow-billed Cacique
Dives warczewiczi,Scrub Blackbird
Dives warczewiczi warczewiczi,Scrub Blackbird
Piranga rubra,Summer Tanager
Piranga leucoptera,White-winged Tanager
Piranga leucoptera ardens,White-winged Tanager
Piranga flava,Red Tanager
Piranga olivacea,Scarlet Tanager
Chlorothraupis stolzmanni,Ochre-breasted Tanager
Chlorothraupis stolzmanni stolzmanni,Ochre-breasted Tanager
Cyanoloxia cyanoides,Blue-black Grosbeak
Pheucticus chrysogaster,Golden Grosbeak
Pheucticus chrysogaster chrysogaster,Golden Grosbeak
Pheucticus ludovicianus,Rose-breasted Grosbeak
Amaurospiza moesta,Blackish-blue Seedeater
Amaurospiza aequatorialis,Ecuadorian Seedeater
Cinclus leucocephalus,White-capped Dipper
Cinclus leucocephalus leuconotus,White-capped Dipper
Formicarius nigricapillus,Black-headed Antthrush
Formicarius rufipectus,Rufous-breasted Antthrush
Formicarius rufipectus carrikeri,Rufous-breasted Antthrush
Mimus gilvus,Tropical Mockingbird
Anisognathus notabilis,Black-chinned Mountain Tanager
Anisognathus igniventris,Scarlet-bellied Mountain Tanager
Anisognathus somptuosus,Blue-winged Mountain Tanager
Anisognathus flavinucha,Blue-winged Mountain Tanager
Anisognathus somptuosus cyanopterus,Blue-winged Mountain Tanager
Tangara labradorides,Metallic-green Tanager
Tangara labradorides labradorides,Metallic-green Tanager
Tangara nigroviridis,Beryl-spangled Tanager
Tangara nigroviridis cyanescens,Beryl-spangled Tanager
Tangara gyrola,Bay-headed Tanager
Tangara gyrola nupera,Bay-headed Tanager
Tangara johannae,Blue-whiskered Tanager
Tangara vassorii,Blue-and-black Tanager
