sort v2024,species_code,English name,scientific name
838.0,ruhcha1,Rufous-headed Chachalaca,Ortalis erythroptera
839.0,rubcha1,Rufous-bellied Chachalaca,Ortalis wagleri
840.0,wemcha1,West Mexican Chachalaca,Ortalis poliocephala
842.0,chacha1,Chaco Chachalaca,Ortalis canicollis
845.0,whbcha1,White-bellied Chachalaca,Ortalis leucogastra
846.0,colcha1,Colombian Chachalaca,Ortalis columbiana
847.0,specha3,Speckled Chachalaca,Ortalis guttata
852.0,specha2,East Brazilian Chachalaca,Ortalis araucuan
853.0,specha4,Scaled Chachalaca,Ortalis squamata
854.0,varcha1,Variable Chachalaca,Ortalis motmot
855.0,varcha3,Chestnut-headed Chachalaca,Ortalis ruficeps
856.0,bubcha1,Buff-browed Chachalaca,Ortalis superciliaris
858.0,batgua1,Band-tailed Guan,Penelope argyrotis
862.0,beagua1,Bearded Guan,Penelope barbata
863.0,baugua1,Baudo Guan,Penelope ortoni
864.0,andgua1,Andean Guan,Penelope montagnii
870.0,margua1,Marail Guan,Penelope marail
873.0,rumgua1,Rusty-margined Guan,Penelope superciliaris
879.0,refgua1,Red-faced Guan,Penelope dabbenei
880.0,spigua1,Spix's Guan,Penelope jacquacu
887.0,cregua1,Crested Guan,Penelope purpurascens
891.0,caugua1,Cauca Guan,Penelope perspicax
892.0,whwgua1,White-winged Guan,Penelope albipennis
893.0,dulgua1,Dusky-legged Guan,Penelope obscura
897.0,dulgua3,Yungas Guan,Penelope bridgesi
898.0,whcgua1,White-crested Guan,Penelope pileata
899.0,chbgua1,Chestnut-bellied Guan,Penelope ochrogaster
900.0,whbgua1,White-browed Guan,Penelope jacucaca
902.0,trpgua1,Trinidad Piping-Guan,Pipile pipile
903.0,butpig1,Blue-throated Piping-Guan,Pipile cumanensis
904.0,butpig2,White-throated Piping-Guan,Pipile grayi
906.0,rtpgua1,Red-throated Piping-Guan,Pipile cujubi
911.0,bfpgua1,Black-fronted Piping-Guan,Pipile jacutinga
912.0,watgua1,Wattled Guan,Aburria aburri
913.0,blagua1,Black Guan,Chamaepetes unicolor
914.0,siwgua1,Sickle-winged Guan,Chamaepetes goudotii
920.0,higgua1,Highland Guan,Penelopina nigra
921.0,horgua1,Horned Guan,Oreophasis derbianus
922.0,noccur1,Nocturnal Curassow,Nothocrax urumutum
923.0,crecur2,Crestless Curassow,Mitu tomentosum
924.0,salcur1,Salvin's Curassow,Mitu salvini
925.0,rabcur2,Razor-billed Curassow,Mitu tuberosum
926.0,alacur1,Alagoas Curassow,Mitu mitu
927.0,helcur1,Helmeted Curassow,Pauxi pauxi
930.0,horcur2,Sira Curassow,Pauxi koepckeae
931.0,horcur3,Horned Curassow,Pauxi unicornis
932.0,grecur1,Great Curassow,Crax rubra
935.0,bubcur1,Blue-billed Curassow,Crax alberti
936.0,yekcur1,Yellow-knobbed Curassow,Crax daubentoni
937.0,blacur1,Black Curassow,Crax alector
940.0,watcur1,Wattled Curassow,Crax globulosa
941.0,bafcur1,Bare-faced Curassow,Crax fasciolata
946.0,rebcur1,Red-billed Curassow,Crax blumenbachii
950.0,helgui,Helmeted Guineafowl,Numida meleagris
963.0,whbgui1,White-breasted Guineafowl,Agelastes meleagrides
964.0,blagui1,Black Guineafowl,Agelastes niger
965.0,vulgui1,Vulturine Guineafowl,Acryllium vulturinum
966.0,plugui1,Plumed Guineafowl,Guttera plumifera
969.0,cregui3,Eastern Crested Guineafowl,Guttera pucherani
970.0,cregui2,Western Crested Guineafowl,Guttera verreauxi
973.0,cregui4,Southern Crested Guineafowl,Guttera edouardi
978.0,stopar1,Stone Partridge,Ptilopachus petrosus
981.0,nahfra2,Nahan's Partridge,Ptilopachus nahani
982.0,tafqua1,Tawny-faced Quail,Rhynchortyx cinctus
986.0,mouqua,Mountain Quail,Oreortyx pictus
987.0,bcwpar1,Buffy-crowned Wood-Partridge,Dendrortyx leucophrys
990.0,ltwpar1,Long-tailed Wood-Partridge,Dendrortyx macroura
997.0,bewpar1,Bearded Wood-Partridge,Dendrortyx barbatus
998.0,banqua1,Banded Quail,Philortyx fasciatus
999.0,norbob,Northern Bobwhite,Colinus virginianus
1025.0,bltbob1,Black-throated Bobwhite,Colinus nigrogularis
1030.0,crebob2,Spot-bellied Bobwhite,Colinus leucopogon
1037.0,crebob1,Crested Bobwhite,Colinus cristatus
1051.0,scaqua,Scaled Quail,Callipepla squamata
