scientificName,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory
"Cyanolyca viridicyanus (Orbigny & Lafresnaye, 1838)","Cyanolyca viridicyanus (Orbigny & Lafresnaye, 1838)",2,SPECIES,ACCEPTED,Passeriformes,729.0,Corvidae,5235.0,Cyanolyca,2482541.0,Cyanolyca viridicyanus,7342105.0,NT
"Snowornis cryptolophus (P.L.Sclater & Salvin, 1877)","Snowornis cryptolophus (P.L.Sclater & Salvin, 1877)",54,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Snowornis,2486235.0,Snowornis cryptolophus,2486238.0,LC
"Querula purpurata (Statius Muller, 1776)","Querula purpurata (Statius Muller, 1776)",11,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Querula,2486252.0,Querula purpurata,2486253.0,LC
"Pachyramphus cinnamomeus Lawrence, 1861","Pachyramphus cinnamomeus Lawrence, 1861",3994,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus cinnamomeus,5230338.0,LC
Pachyramphus cinnamomeus cinnamomeus,Pachyramphus cinnamomeus cinnamomeus,2,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus cinnamomeus,5230338.0,
"Pachyramphus versicolor (Hartlaub, 1843)","Pachyramphus versicolor (Hartlaub, 1843)",75,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus versicolor,5230348.0,LC
Pachyramphus versicolor versicolor,Pachyramphus versicolor versicolor,1,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus versicolor,5230348.0,
"Pachyramphus albogriseus P.L.Sclater, 1857","Pachyramphus albogriseus P.L.Sclater, 1857",5,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus albogriseus,5230352.0,LC
"Pachyramphus albogriseus guayaquilensis Zimmer, 1936","Pachyramphus albogriseus guayaquilensis Zimmer, 1936",5,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus albogriseus,5230352.0,
"Pachyramphus albogriseus salvini Richmond, 1899","Pachyramphus albogriseus salvini Richmond, 1899",1,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus albogriseus,5230352.0,
"Pachyramphus homochrous P.L.Sclater, 1859","Pachyramphus homochrous P.L.Sclater, 1859",1301,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus homochrous,5230358.0,LC
Pachyramphus homochrous homochrous,Pachyramphus homochrous homochrous,2,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus homochrous,5230358.0,
"Pachyramphus polychopterus (Vieillot, 1818)","Pachyramphus polychopterus (Vieillot, 1818)",583,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus polychopterus,5230363.0,LC
"Pachyramphus polychopterus dorsalis P.L.Sclater, 1862","Pachyramphus polychopterus dorsalis P.L.Sclater, 1862",2,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus polychopterus,5230363.0,
"Pachyramphus salvini Richmond, 1899","Pachyramphus salvini Richmond, 1899",684,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus salvini,8120211.0,NE
"Ampelioides tschudii (G.R.Gray, 1846)","Ampelioides tschudii (G.R.Gray, 1846)",790,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Ampelioides,2486327.0,Ampelioides tschudii,2486328.0,LC
"Rupicola peruvianus (Latham, 1790)","Rupicola peruvianus (Latham, 1790)",2019,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Rupicola,2486333.0,Rupicola peruvianus,5230374.0,LC
"Rupicola peruvianus sanguinolentus Gould, 1859","Rupicola peruvianus sanguinolentus Gould, 1859",11,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Rupicola,2486333.0,Rupicola peruvianus,5230374.0,
"Pipreola jucunda P.L.Sclater, 1860","Pipreola jucunda P.L.Sclater, 1860",43,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pipreola,2486358.0,Pipreola jucunda,2486363.0,LC
"Pipreola arcuata (Lafresnaye, 1843)","Pipreola arcuata (Lafresnaye, 1843)",2,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pipreola,2486358.0,Pipreola arcuata,2486368.0,LC
Pipreola arcuata arcuata,Pipreola arcuata arcuata,1,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pipreola,2486358.0,Pipreola arcuata,2486368.0,
"Pipreola riefferii (Boissonneau, 1840)","Pipreola riefferii (Boissonneau, 1840)",48,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pipreola,2486358.0,Pipreola riefferii,2486371.0,LC
"Pipreola riefferii occidentalis (Chapman, 1914)","Pipreola riefferii occidentalis (Chapman, 1914)",3,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pipreola,2486358.0,Pipreola riefferii,2486371.0,
"Ampelion rubrocristatus (Orbigny & Lafresnaye, 1837)","Ampelion rubrocristatus (Orbigny & Lafresnaye, 1837)",16,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Ampelion,2486416.0,Ampelion rubrocristatus,2486420.0,LC
"Schiffornis veraepacis (P.L.Sclater & Salvin, 1860)","Schiffornis turdina veraepacis (P.L.Sclater & Salvin, 1860)",33,SPECIES,SYNONYM,Passeriformes,729.0,Cotingidae,5236.0,Schiffornis,2486445.0,Schiffornis turdina,2486447.0,LC
"Tityra semifasciata (Spix, 1825)","Tityra semifasciata (Spix, 1825)",1307,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Tityra,2486465.0,Tityra semifasciata,2486467.0,LC
"Tityra semifasciata nigriceps Allen, 1888","Tityra semifasciata nigriceps Allen, 1888",1,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Tityra,2486465.0,Tityra semifasciata,2486467.0,
"Tityra inquisitor (Lichtenstein, 1823)","Tityra inquisitor (Lichtenstein, 1823)",285,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Tityra,2486465.0,Tityra inquisitor,2486476.0,LC
"Carpodectes hopkei Berlepsch, 1897","Carpodectes hopkei Berlepsch, 1897",3,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Carpodectes,2486494.0,Carpodectes hopkei,2486497.0,LC
"Cephalopterus penduliger P.L.Sclater, 1859","Cephalopterus penduliger P.L.Sclater, 1859",47,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Cephalopterus,5959194.0,Cephalopterus penduliger,5959195.0,VU
"Euphonia saturata (Cabanis, 1861)","Euphonia saturata (Cabanis, 1861)",824,SPECIES,ACCEPTED,Passeriformes,729.0,Fringillidae,5242.0,Euphonia,2487948.0,Euphonia saturata,2487989.0,LC
"Euphonia laniirostris d'Orbigny & Lafresnaye, 1837","Euphonia laniirostris d'Orbigny & Lafresnaye, 1837",6088,SPECIES,ACCEPTED,Passeriformes,729.0,Fringillidae,5242.0,Euphonia,2487948.0,Euphonia laniirostris,2487998.0,LC
"Euphonia xanthogaster Sundevall, 1834","Euphonia xanthogaster Sundevall, 1834",7890,SPECIES,ACCEPTED,Passeriformes,729.0,Fringillidae,5242.0,Euphonia,2487948.0,Euphonia xanthogaster,2488011.0,LC
"Euphonia xanthogaster quitensis (Nelson, 1912)","Euphonia xanthogaster quitensis (Nelson, 1912)",5,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Fringillidae,5242.0,Euphonia,2487948.0,Euphonia xanthogaster,2488011.0,
"Chlorophonia cyanocephala (Vieillot, 1819)","Euphonia cyanocephala (Vieillot, 1819)",999,SPECIES,SYNONYM,Passeriformes,729.0,Fringillidae,5242.0,Euphonia,2487948.0,Euphonia cyanocephala,2488023.0,NE
"Chlorophonia cyanocephala pelzelni (P.L.Sclater, 1886)","Euphonia cyanocephala pelzelni P.L.Sclater, 1886",1,SUBSPECIES,SYNONYM,Passeriformes,729.0,Fringillidae,5242.0,Euphonia,2487948.0,Euphonia cyanocephala,2488023.0,
