taxonKey	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory	absoluteRatio	rarity	relativeRatio	relativePercent	splitScientificName	splitExtras
2490984	2490984	Scytalopus spillmanni Stresemann, 1937	56	SPECIES	ACCEPTED	Passeriformes	729.0	Rhinocryptidae	5281.0	Scytalopus	2490976.0	Scytalopus spillmanni	2490984.0	LC	8.632064419863614e-05	Uncommon	0.14432989690721648	14.4%	Scytalopus spillmanni	Stresemann, 1937
2490999	2490999	Scytalopus vicinior Zimmer, 1939	327	SPECIES	ACCEPTED	Passeriformes	729.0	Rhinocryptidae	5281.0	Scytalopus	2490976.0	Scytalopus vicinior	2490999.0	LC	0.000504050904517036	Uncommon	0.8427835051546392	84.3%	Scytalopus vicinior	Zimmer, 1939
7340755	7340755	Scytalopus latrans Hellmayr, 1924	5	SPECIES	ACCEPTED	Passeriformes	729.0	Rhinocryptidae	5281.0	Scytalopus	2490976.0	Scytalopus latrans	7340755.0	LC	7.707200374878227e-06	Rare	0.01288659793814433	1.29%	Scytalopus latrans	Hellmayr, 1924
2490005	5845946	Gymnopithys leucaspis bicolor (Lawrence, 1863)	1	SPECIES	SYNONYM	Passeriformes	729.0	Thamnophilidae	5286.0	Gymnopithys	2490002.0	Gymnopithys leucaspis	2490003.0	LC	1.5414400749756452e-06	Very Rare	1.0	100.0%	Gymnopithys bicolor	(Lawrence, 1863)
8360089	2490016	Terenura callinota (P.L.Sclater, 1855)	257	SPECIES	SYNONYM	Passeriformes	729.0	Thamnophilidae	5286.0	Terenura	2490011.0	Terenura callinota	2490016.0	LC	0.0003961500992687408	Uncommon	0.9846743295019157	98.5%	Euchrepomis callinota	(P.L.Sclater, 1855)
7852616	2490016	Terenura callinota (P.L.Sclater, 1855)	3	SUBSPECIES	SYNONYM	Passeriformes	729.0	Thamnophilidae	5286.0	Terenura	2490011.0	Terenura callinota	2490016.0		4.624320224926936e-06	Rare	0.011494252873563218	1.15%	Euchrepomis callinota	callinota
7341504	7341504	Terenura callinota callinota	1	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Thamnophilidae	5286.0	Terenura	2490011.0	Terenura callinota	2490016.0		1.5414400749756452e-06	Very Rare	0.0038314176245210726	0.383%	Terenura callinota	callinota
2490029	2490029	Dysithamnus puncticeps Salvin, 1866	2	SPECIES	ACCEPTED	Passeriformes	729.0	Thamnophilidae	5286.0	Dysithamnus	2490027.0	Dysithamnus puncticeps	2490029.0	LC	3.0828801499512905e-06	Rare	0.038461538461538464	3.85%	Dysithamnus puncticeps	Salvin, 1866
2490033	2490033	Dysithamnus mentalis (Temminck, 1823)	49	SPECIES	ACCEPTED	Passeriformes	729.0	Thamnophilidae	5286.0	Dysithamnus	2490027.0	Dysithamnus mentalis	2490033.0	LC	7.553056367380662e-05	Uncommon	0.9423076923076923	94.2%	Dysithamnus mentalis	(Temminck, 1823)
6092915	6092915	Dysithamnus mentalis aequatorialis Todd, 1916	1	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Thamnophilidae	5286.0	Dysithamnus	2490027.0	Dysithamnus mentalis	2490033.0		1.5414400749756452e-06	Very Rare	0.019230769230769232	1.92%	Dysithamnus mentalis	aequatorialis Todd, 1916
