"gbif_id","gbif_common_name","ISO 639-2 Code","ISO 639-1 Code","English name of Language","French name of Language","German name of Language"
"2479559","niassaparkiet","afr","af","Afrikaans","afrikaans","Afrikaans"
"2498396","nonnetjie-eend","afr","af","Afrikaans","afrikaans","Afrikaans"
"2497921","nonnetjie-uil","afr","af","Afrikaans","afrikaans","Afrikaans"
"2441135","oorbietjie","afr","af","Afrikaans","afrikaans","Afrikaans"
"2480998","oostelike rooipootvalk","afr","af","Afrikaans","afrikaans","Afrikaans"
"2418052","opesee-wittiphaai","afr","af","Afrikaans","afrikaans","Afrikaans"
"8123917","potvis","afr","af","Afrikaans","afrikaans","Afrikaans"
"2498112","pylsterteend","afr","af","Afrikaans","afrikaans","Afrikaans"
"2480906","ralreier","afr","af","Afrikaans","afrikaans","Afrikaans"
"2433695","ratel","afr","af","Afrikaans","afrikaans","Afrikaans"
"5213048","reus-bontpaling","afr","af","Afrikaans","afrikaans","Afrikaans"
"5959139","reuse-ooruil","afr","af","Afrikaans","afrikaans","Afrikaans"
"2441037","rietbok","afr","af","Afrikaans","afrikaans","Afrikaans"
"2479226","ringnekparkiet","afr","af","Afrikaans","afrikaans","Afrikaans"
"5220027","risso-dolfyn","afr","af","Afrikaans","afrikaans","Afrikaans"
"2481061","roetvalk","afr","af","Afrikaans","afrikaans","Afrikaans"
"2480514","roofarend","afr","af","Afrikaans","afrikaans","Afrikaans"
"5220162","rooi-lechwe","afr","af","Afrikaans","afrikaans","Afrikaans"
"2441144","rooibok","afr","af","Afrikaans","afrikaans","Afrikaans"
"5219216","rooijakkals","afr","af","Afrikaans","afrikaans","Afrikaans"
"2480568","rooinekjakkalsvoël","afr","af","Afrikaans","afrikaans","Afrikaans"
"2481019","rooinekvalk","afr","af","Afrikaans","afrikaans","Afrikaans"
"5229126","rooipootelsie","afr","af","Afrikaans","afrikaans","Afrikaans"
"2480934","rooireier","afr","af","Afrikaans","afrikaans","Afrikaans"
"9616058","rooivalk","afr","af","Afrikaans","afrikaans","Afrikaans"
"7282673","roseakaktus","afr","af","Afrikaans","afrikaans","Afrikaans"
"2480384","rüppellaasvoël","afr","af","Afrikaans","afrikaans","Afrikaans"
"2481904","saalbekooievaar","afr","af","Afrikaans","afrikaans","Afrikaans"
"2418009","sandbankhaai","afr","af","Afrikaans","afrikaans","Afrikaans"
"2440709","seiwalvis","afr","af","Afrikaans","afrikaans","Afrikaans"
"2441140","sharpe se grysbok","afr","af","Afrikaans","afrikaans","Afrikaans"
"2362473","silwerkarp","afr","af","Afrikaans","afrikaans","Afrikaans"
"2480347","skoenbekooievaar","afr","af","Afrikaans","afrikaans","Afrikaans"
"2480873","sneeuwitreier","afr","af","Afrikaans","afrikaans","Afrikaans"
"2498083","somereend","afr","af","Afrikaans","afrikaans","Afrikaans"
"2441141","steenbok","afr","af","Afrikaans","afrikaans","Afrikaans"
"5201038","stekel-seeperdjie","afr","af","Afrikaans","afrikaans","Afrikaans"
"2480513","steppe-arend","afr","af","Afrikaans","afrikaans","Afrikaans"
"2418054","stompkophaai","afr","af","Afrikaans","afrikaans","Afrikaans"
"2334440","straal-vuurvis","afr","af","Afrikaans","afrikaans","Afrikaans"
"5220055","streepdolfyn","afr","af","Afrikaans","afrikaans","Afrikaans"
"2433471","subantarktiese pelsrob","afr","af","Afrikaans","afrikaans","Afrikaans"
"2434814","suidelike olifantrob","afr","af","Afrikaans","afrikaans","Afrikaans"
"2435037","swart-poot kat","afr","af","Afrikaans","afrikaans","Afrikaans"
"6065824","swartkopmeeu","afr","af","Afrikaans","afrikaans","Afrikaans"
"2481173","swartrugmeeu","afr","af","Afrikaans","afrikaans","Afrikaans"
"2481685","swartstertgriet","afr","af","Afrikaans","afrikaans","Afrikaans"
"5229167","swartwou","afr","af","Afrikaans","afrikaans","Afrikaans"
"2481047","swerfvalk","afr","af","Afrikaans","afrikaans","Afrikaans"
"2418095","syhaai","afr","af","Afrikaans","afrikaans","Afrikaans"
"2495414","tuinduif","afr","af","Afrikaans","afrikaans","Afrikaans"
"2480830","veereier","afr","af","Afrikaans","afrikaans","Afrikaans"
"2419714","veerstert-pylstert","afr","af","Afrikaans","afrikaans","Afrikaans"
"2480454","visarend","afr","af","Afrikaans","afrikaans","Afrikaans"
"2497870","visuil","afr","af","Afrikaans","afrikaans","Afrikaans"
