sort v2024,species_code,English name,scientific name,taxonKey,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory,absoluteRatio,rarity,relativeRatio,relativePercent,splitScientificName,splitExtras
78.0,littin1,Little Tinamou,Crypturellus soui,2477507,2477507,"Crypturellus soui (Hermann, 1783)",64,SPECIES,ACCEPTED,Tinamiformes,726.0,Tinamidae,9353.0,Crypturellus,2477492.0,Crypturellus soui,2477507.0,LC,9.86521647984413e-05,Uncommon,1.0,100.0%,Crypturellus soui,"(Hermann, 1783)"
20976.0,beajay1,Beautiful Jay,Cyanolyca pulchra,2482546,2482546,"Cyanolyca pulchra (Lawrence, 1876)",21,SPECIES,ACCEPTED,Passeriformes,729.0,Corvidae,5235.0,Cyanolyca,2482541.0,Cyanolyca pulchra,2482546.0,NT,3.237024157448855e-05,Rare,0.1944444444444444,19.4%,Cyanolyca pulchra,"(Lawrence, 1876)"
20982.0,turjay1,Turquoise Jay,Cyanolyca turcosa,2482549,2482549,"Cyanolyca turcosa (Bonaparte, 1853)",85,SPECIES,ACCEPTED,Passeriformes,729.0,Corvidae,5235.0,Cyanolyca,2482541.0,Cyanolyca turcosa,2482549.0,LC,0.0001310224063729,Uncommon,0.7870370370370371,78.7%,Cyanolyca turcosa,"(Bonaparte, 1853)"
20983.0,whcjay2,White-collared Jay,Cyanolyca viridicyanus,7342105,7342105,"Cyanolyca viridicyanus (Orbigny & Lafresnaye, 1838)",2,SPECIES,ACCEPTED,Passeriformes,729.0,Corvidae,5235.0,Cyanolyca,2482541.0,Cyanolyca viridicyanus,7342105.0,NT,3.0828801499512905e-06,Rare,0.0185185185185185,1.85%,Cyanolyca viridicyanus,"(Orbigny & Lafresnaye, 1838)"
15743.0,olipih2,Olivaceous Piha,Snowornis cryptolophus,2486238,2486238,"Snowornis cryptolophus (P.L.Sclater & Salvin, 1877)",54,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Snowornis,2486235.0,Snowornis cryptolophus,2486238.0,LC,8.323776404868484e-05,Uncommon,1.0,100.0%,Snowornis cryptolophus,"(P.L.Sclater & Salvin, 1877)"
15747.0,putfru1,Purple-throated Fruitcrow,Querula purpurata,2486253,2486253,"Querula purpurata (Statius Muller, 1776)",11,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Querula,2486252.0,Querula purpurata,2486253.0,LC,1.69558408247321e-05,Rare,1.0,100.0%,Querula purpurata,"(Statius Muller, 1776)"
15874.0,cinbec1,Cinnamon Becard,Pachyramphus cinnamomeus,5230338,5230338,"Pachyramphus cinnamomeus Lawrence, 1861",3994,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus cinnamomeus,5230338.0,LC,0.0061565116594527,Common,0.6001502629601804,60.0%,Pachyramphus cinnamomeus,"Lawrence, 1861"
15874.0,cinbec1,Cinnamon Becard,Pachyramphus cinnamomeus,7192347,7192347,Pachyramphus cinnamomeus cinnamomeus,2,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus cinnamomeus,5230338.0,,3.0828801499512905e-06,Rare,0.0003005259203606,0.030%,Pachyramphus cinnamomeus,cinnamomeus
15866.0,barbec1,Barred Becard,Pachyramphus versicolor,5230348,5230348,"Pachyramphus versicolor (Hartlaub, 1843)",75,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus versicolor,5230348.0,LC,0.0001156080056231,Uncommon,0.0112697220135236,1.13%,Pachyramphus versicolor,"(Hartlaub, 1843)"
15866.0,barbec1,Barred Becard,Pachyramphus versicolor,7061149,7061149,Pachyramphus versicolor versicolor,1,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus versicolor,5230348.0,,1.5414400749756452e-06,Very Rare,0.0001502629601803,0.015%,Pachyramphus versicolor,versicolor
15894.0,bawbec7,Black-and-white Becard,Pachyramphus albogriseus,5230352,5230352,"Pachyramphus albogriseus P.L.Sclater, 1857",5,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus albogriseus,5230352.0,LC,7.707200374878227e-06,Rare,0.0007513148009015,0.075%,Pachyramphus albogriseus,"P.L.Sclater, 1857"
15894.0,bawbec7,Black-and-white Becard,Pachyramphus albogriseus,5230353,5230353,"Pachyramphus albogriseus guayaquilensis Zimmer, 1936",5,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus albogriseus,5230352.0,,7.707200374878227e-06,Rare,0.0007513148009015,0.075%,Pachyramphus albogriseus,"guayaquilensis Zimmer, 1936"
15894.0,bawbec7,Black-and-white Becard,Pachyramphus albogriseus,5230354,5230354,"Pachyramphus albogriseus salvini Richmond, 1899",1,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus albogriseus,5230352.0,,1.5414400749756452e-06,Very Rare,0.0001502629601803,0.015%,Pachyramphus albogriseus,"salvini Richmond, 1899"
15920.0,oncbec1,One-colored Becard,Pachyramphus homochrous,5230358,5230358,"Pachyramphus homochrous P.L.Sclater, 1859",1301,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus homochrous,5230358.0,LC,0.0020054135375433,Common,0.1954921111945905,19.5%,Pachyramphus homochrous,"P.L.Sclater, 1859"
15920.0,oncbec1,One-colored Becard,Pachyramphus homochrous,7192350,7192350,Pachyramphus homochrous homochrous,2,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus homochrous,5230358.0,,3.0828801499512905e-06,Rare,0.0003005259203606,0.030%,Pachyramphus homochrous,homochrous
15885.0,whwbec1,White-winged Becard,Pachyramphus polychopterus,5230363,5230363,"Pachyramphus polychopterus (Vieillot, 1818)",583,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus polychopterus,5230363.0,LC,0.0008986595637108,Uncommon,0.0876033057851239,8.76%,Pachyramphus polychopterus,"(Vieillot, 1818)"
15885.0,whwbec1,White-winged Becard,Pachyramphus polychopterus,5230368,5230368,"Pachyramphus polychopterus dorsalis P.L.Sclater, 1862",2,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus polychopterus,5230363.0,,3.0828801499512905e-06,Rare,0.0003005259203606,0.030%,Pachyramphus polychopterus,"dorsalis P.L.Sclater, 1862"
15897.0,bawbec6,Cryptic Becard,Pachyramphus salvini,8120211,8120211,"Pachyramphus salvini Richmond, 1899",684,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus salvini,8120211.0,NE,0.0010543450112833,Uncommon,0.1027798647633358,10.3%,Pachyramphus salvini,"Richmond, 1899"
