scientificName,IUCN_Species_Code,IUCN_common_name,altcommonNames,Synonym,eBird_Species_Code,eBird_common_name,IOC_common_name
Acrocephalus schoenobaenus,22714700,Sedge Warbler,,,sedwar1,Sedge Warbler,Sedge Warbler
Acrocephalus scirpaceus,22714722,Common Reed-warbler,"Eurasian Reed-warbler, Eurasian Reed Warbler, European Reed Warbler, Reed Warbler",,eurwar1,Common Reed Warbler,Common Reed Warbler
Acrocephalus sechellensis,22714882,Seychelles Warbler,"Seychelles Brush Warbler, Seychelles Brush-Warbler","Bebrornis sechellensis, Ellisia sechellensis",sebwar1,Seychelles Warbler,Seychelles Warbler
Acrocephalus sorghophilus,22714704,Streaked Reed-warbler,"Speckled Reed Warbler, Streaked Reed-Warbler",,strwar1,Streaked Reed Warbler,Speckled Reed Warbler
Acrocephalus stentoreus,219591644,Clamorous Reed-warbler,Clamorous Reed Warbler,Curruca stentorea,clrwar1,Clamorous Reed Warbler,Clamorous Reed Warbler
Acrocephalus syrinx,22714786,Caroline Reed-warbler,"Caroline Islands Reed-warbler, Caroline Islands Reed-Warbler, Carolinian Reed Warbler",,carrew1,Caroline Reed Warbler,Caroline Reed Warbler
Acrocephalus taiti,22714839,Henderson Island Reed-warbler,"Henderson Island Reed-Warbler, Henderson Reed-warbler, Henderson Reed Warbler",,hirwar1,Henderson Island Reed Warbler,Henderson Reed Warbler
Acrocephalus tangorum,22728387,White-browed Reed-warbler,"Manchurian Reed-warbler, Manchurian Reed Warbler",,manrew1,Manchurian Reed Warbler,Manchurian Reed Warbler
Acrocephalus vaughani,22714832,Pitcairn Reed-warbler,"Pitcairn Reed Warbler, Pitcairn Reed-Warbler",,pirwar2,Pitcairn Reed Warbler,Pitcairn Reed Warbler
Acrocephalus yamashinae,103780103,Pagan Reed-warbler,,,pagrew1,Pagan Reed Warbler,
Acropternis orthonyx,22703554,Ocellated Tapaculo,,,ocetap1,Ocellated Tapaculo,Ocellated Tapaculo
Acryllium vulturinum,22679572,Vulturine Guineafowl,,,vulgui1,Vulturine Guineafowl,Vulturine Guineafowl
Actenoides bougainvillei,22683519,Moustached Kingfisher,,"Halcyon bougainvillei bougainvillei, Halcyon bougainvillei",moukin2,Moustached Kingfisher,Moustached Kingfisher
Actenoides capucinus,22726852,Black-headed Kingfisher,,,,,
Actenoides concretus,22683532,Rufous-collared Kingfisher,,,ruckin1,Rufous-collared Kingfisher,Rufous-collared Kingfisher
Actenoides hombroni,22683542,Blue-capped Kingfisher,Hombron's Kingfisher,Halcyon hombroni,blckin2,Blue-capped Kingfisher,Hombron's Kingfisher
Actenoides lindsayi,22683535,Spotted Kingfisher,Spotted Wood Kingfisher,Halcyon lindsayi lindsayi,spokin1,Spotted Kingfisher,Spotted Wood Kingfisher
Actenoides monachus,22726844,Blue-headed Kingfisher,Green-backed Kingfisher,,grbkin1,Green-backed Kingfisher,Green-backed Kingfisher
Actenoides princeps,22726858,Scaly-breasted Kingfisher,Scaly Kingfisher,,scakin1,Scaly-breasted Kingfisher,Scaly-breasted Kingfisher
Actenoides regalis,22727941,Plain-backed Kingfisher,,,,,
Actinodura egertoni,22716557,Rusty-fronted Barwing,,,rufbar1,Rusty-fronted Barwing,Rusty-fronted Barwing
Actinodura radcliffei,103879283,Eastern Spectacled Barwing,,,,,
Actinodura ramsayi,103879269,Western Spectacled Barwing,,,spebar1,Spectacled Barwing,Spectacled Barwing
Actinodura sodangorum,22716552,Black-crowned Barwing,,,bkcbar1,Black-crowned Barwing,Black-crowned Barwing
Actitis hypoleucos,22693264,Common Sandpiper,,Tringa hypoleucos hypoleucos,comsan,Common Sandpiper,Common Sandpiper
Actitis macularius,22693277,Spotted Sandpiper,,"Tringa macularia macularia, Actitis macularia macularia",sposan,Spotted Sandpiper,Spotted Sandpiper
Actophilornis africanus,22693528,African Jacana,,,afrjac1,African Jacana,African Jacana
Actophilornis albinucha,22693532,Madagascar Jacana,,,madjac1,Madagascar Jacana,Madagascar Jacana
