scientificName,eBird_Species_Code,eBird_common_name
Willisornis poecilinotus,scbant3,Common Scale-backed Antbird
Willisornis vidua,scbant8,Xingu Scale-backed Antbird
Phlegopsis nigromaculata,bsbeye1,Black-spotted Bare-eye
Phlegopsis erythroptera,rwbeye1,Reddish-winged Bare-eye
Phlegopsis borbae,pafant1,Pale-faced Bare-eye
Phaenostictus mcleannani,oceant1,Ocellated Antbird
Melanopareia torquata,colcre1,Collared Crescentchest
Melanopareia maximiliani,olccre1,Olive-crowned Crescentchest
Melanopareia maranonica,marcre1,Marañon Crescentchest
Melanopareia elegans,elecre1,Elegant Crescentchest
Pittasoma michleri,blcant1,Black-crowned Antpitta
Pittasoma rufopileatum,rucant3,Rufous-crowned Antpitta
Conopophaga melanogaster,blbgna1,Black-bellied Gnateater
Conopophaga melanops,blcgna1,Black-cheeked Gnateater
Conopophaga aurita,chbgna1,Chestnut-belted Gnateater
Conopophaga snethlageae,chbgna3,Black-breasted Gnateater
Conopophaga peruviana,astgna1,Ash-throated Gnateater
Conopophaga cearae,rufgna2,Ceara Gnateater
Conopophaga roberti,hoogna1,Hooded Gnateater
Conopophaga lineata,rufgna3,Rufous Gnateater
Conopophaga castaneiceps,chcgna1,Chestnut-crowned Gnateater
Conopophaga ardesiaca,slagna1,Slaty Gnateater
Grallaria squamigera,undant1,Undulated Antpitta
Grallaria gigantea,giaant1,Giant Antpitta
Grallaria excelsa,greant2,Great Antpitta
Grallaria varia,varant2,Variegated Antpitta
Grallaria alleni,mouant1,Moustached Antpitta
Grallaria guatimalensis,scaant1,Scaled Antpitta
Grallaria chthonia,tacant1,Tachira Antpitta
Grallaria haplonota,plbant1,Plain-backed Antpitta
Grallaria dignissima,ocsant1,Ochre-striped Antpitta
Grallaria eludens,eluant1,Elusive Antpitta
Grallaria ruficapilla,chcant2,Chestnut-crowned Antpitta
Grallaria watkinsi,watant1,Watkins's Antpitta
Grallaria bangsi,samant1,Santa Marta Antpitta
Grallaria kaestneri,cunant1,Cundinamarca Antpitta
Grallaria andicolus,sthant2,Stripe-headed Antpitta
Grallaria griseonucha,gynant1,Gray-naped Antpitta
Grallaria ridgelyi,jocant1,Jocotoco Antpitta
Grallaria nuchalis,chnant1,Chestnut-naped Antpitta
Grallaria carrikeri,pabant1,Pale-billed Antpitta
Grallaria albigula,whtant2,White-throated Antpitta
Grallaria flavotincta,yebant1,Yellow-breasted Antpitta
Grallaria hypoleuca,whbant3,White-bellied Antpitta
Grallaria przewalskii,rutant5,Rusty-tinged Antpitta
Grallaria capitalis,bayant1,Bay Antpitta
Grallaria erythroleuca,rawant1,Red-and-white Antpitta
Grallaria spatiator,rufant5,Sierra Nevada Antpitta
Grallaria saltuensis,rufant6,Perija Antpitta
Grallaria rufocinerea,bicant3,Bicolored Antpitta
Grallaria rufula,rufant7,Muisca Antpitta
Grallaria centralis,oxaant1,Oxapampa Antpitta
Grallaria ayacuchensis,ayaant1,Ayacucho Antpitta
Grallaria occabambae,rufant10,Urubamba Antpitta
Grallaria sinaensis,punant1,Puno Antpitta
Grallaria cochabambae,rufant11,Bolivian Antpitta
Grallaria alvarezi,chaant4,Chami Antpitta
Grallaria saturata,equant1,Equatorial Antpitta
Grallaria cajamarcae,rufant8,Cajamarca Antpitta
Grallaria blakei,cheant2,Chestnut Antpitta
Grallaria gravesi,chaant5,Chachapoyas Antpitta
Grallaria oneilli,panant1,Panao Antpitta
Grallaria obscura,rufant9,Junin Antpitta
Grallaria quitensis,tawant1,Tawny Antpitta
Grallaria urraoensis,antant1,Urrao Antpitta
Grallaria milleri,brbant1,Brown-banded Antpitta
Grallaria erythrotis,rufant2,Rufous-faced Antpitta
Cryptopezus nattereri,spbant1,Speckle-breasted Antpitta
Hylopezus perspicillatus,stcant2,Streak-chested Antpitta
Hylopezus macularius,spoant6,Spotted Antpitta
Hylopezus paraensis,spoant5,Snethlage's Antpitta
Hylopezus whittakeri,alfant1,Alta Floresta Antpitta
Hylopezus auricularis,masant1,Masked Antpitta
Hylopezus ochroleucus,whbant7,White-browed Antpitta
Myrmothera fulviventris,whlant2,White-lored Antpitta
Myrmothera berlepschi,amaant1,Amazonian Antpitta
Myrmothera dives,thiant1,Thicket Antpitta
Myrmothera campanisona,thlant2,Thrush-like Antpitta
Myrmothera subcanescens,thlant3,Tapajos Antpitta
Myrmothera simplex,tepant1,Tepui Antpitta
Grallaricula flavirostris,ocbant1,Ochre-breasted Antpitta
Grallaricula loricata,scbant2,Scallop-breasted Antpitta
Grallaricula cucullata,hooant1,Hooded Antpitta
Grallaricula peruviana,perant1,Peruvian Antpitta
Grallaricula ochraceifrons,ocfant1,Ochre-fronted Antpitta
Grallaricula ferrugineipectus,rubant5,Rusty-breasted Antpitta
Grallaricula leymebambae,rubant7,Leymebamba Antpitta
Grallaricula nana,slcant2,Slate-crowned Antpitta
Grallaricula cumanensis,slcant5,Sucre Antpitta
Grallaricula lineifrons,crfant1,Crescent-faced Antpitta
Pteroptochos castaneus,cthhue1,Chestnut-throated Huet-huet
Pteroptochos tarnii,bthhue1,Black-throated Huet-huet
Pteroptochos megapodius,moutur1,Moustached Turca
Scelorchilus albicollis,whttap1,White-throated Tapaculo
Scelorchilus rubecula,chutap1,Chucao Tapaculo
Liosceles thoracicus,rubtap1,Rusty-belted Tapaculo
Acropternis orthonyx,ocetap1,Ocellated Tapaculo
Rhinocrypta lanceolata,cregal1,Crested Gallito
Teledromas fuscus,sangal1,Sandy Gallito
Psilorhamphus guttatus,spobam1,Spotted Bamboowren
Merulaxis ater,slabri1,Slaty Bristlefront
Merulaxis stresemanni,strbri1,Stresemann's Bristlefront
Eugralla paradoxa,ocftap1,Ochre-flanked Tapaculo
Myornis senilis,asctap1,Ash-colored Tapaculo
Eleoscytalopus indigoticus,whbtap1,White-breasted Tapaculo
Eleoscytalopus psychopompus,bahtap1,Bahia Tapaculo
Scytalopus iraiensis,martap1,Marsh Tapaculo
Scytalopus diamantinensis,diatap2,Diamantina Tapaculo
Scytalopus novacapitalis,bratap1,Brasilia Tapaculo
Scytalopus petrophilus,roctap1,Rock Tapaculo
Scytalopus pachecoi,platap1,Planalto Tapaculo
Scytalopus gonzagai,sertap1,Boa Nova Tapaculo
Scytalopus speluncae,moctap1,Mouse-colored Tapaculo
Scytalopus fuscus,dustap1,Dusky Tapaculo
Scytalopus magellanicus,magtap1,Magellanic Tapaculo
Scytalopus affinis,anctap1,Ancash Tapaculo
Scytalopus krabbei,whwtap1,White-winged Tapaculo
Scytalopus androstictus,partap4,Loja Tapaculo
Scytalopus opacus,partap2,Paramo Tapaculo
Scytalopus canus,partap1,Paramillo Tapaculo
Scytalopus superciliaris,whbtap2,White-browed Tapaculo
Scytalopus zimmeri,zimtap1,Zimmer's Tapaculo
Scytalopus simonsi,puntap1,Puna Tapaculo
Scytalopus schulenbergi,diatap1,Diademed Tapaculo
Scytalopus urubambae,viltap1,Vilcabamba Tapaculo
Scytalopus whitneyi,amptap1,Ampay Tapaculo
Scytalopus frankeae,miltap1,Jalca Tapaculo
Scytalopus altirostris,nebtap1,Neblina Tapaculo
Scytalopus parvirostris,tritap1,Trilling Tapaculo
Scytalopus bolivianus,boltap1,Bolivian Tapaculo
Scytalopus atratus,whctap1,White-crowned Tapaculo
Scytalopus sanctaemartae,samtap1,Santa Marta Tapaculo
Scytalopus micropterus,lottap1,Long-tailed Tapaculo
Scytalopus femoralis,ruvtap1,Rufous-vented Tapaculo
Scytalopus intermedius,blatap2,Utcubamba Tapaculo
Scytalopus macropus,laftap1,Large-footed Tapaculo
Scytalopus gettyae,juntap1,Junin Tapaculo
Scytalopus unicolor,unitap1,Unicolored Tapaculo
Scytalopus acutirostris,tsctap1,Tschudi's Tapaculo
Scytalopus latrans,blatap1,Blackish Tapaculo
Scytalopus argentifrons,siftap1,Silvery-fronted Tapaculo
Scytalopus vicinior,nartap2,Nariño Tapaculo
Scytalopus panamensis,tactap1,Tacarcuna Tapaculo
Scytalopus chocoensis,chotap1,Choco Tapaculo
Scytalopus rodriguezi,upmtap1,Magdalena Tapaculo
Scytalopus stilesi,stitap1,Stiles's Tapaculo
Scytalopus alvarezlopezi,alptap1,Tatama Tapaculo
Scytalopus robbinsi,ecutap1,Ecuadorian Tapaculo
Scytalopus caracae,cartap1,Caracas Tapaculo
Scytalopus griseicollis,mattap1,Pale-bellied Tapaculo
Scytalopus latebricola,brrtap1,Brown-rumped Tapaculo
Scytalopus perijanus,pertap1,Perija Tapaculo
Scytalopus meridanus,mertap1,Merida Tapaculo
Scytalopus parkeri,chutap2,Chusquea Tapaculo
Scytalopus spillmanni,spitap2,Spillmann's Tapaculo
Formicarius colma,rucant2,Rufous-capped Antthrush
Formicarius moniliger,bkfant2,Mayan Antthrush
Formicarius analis,blfant1,Black-faced Antthrush
Formicarius rufifrons,rufant3,Rufous-fronted Antthrush
Formicarius nigricapillus,blhant1,Black-headed Antthrush
Formicarius rufipectus,rubant1,Rufous-breasted Antthrush
Chamaeza campanisona,shtant1,Short-tailed Antthrush
Chamaeza nobilis,strant3,Striated Antthrush
Chamaeza meruloides,sucant1,Such's Antthrush
Chamaeza turdina,schant1,Schwartz's Antthrush
Chamaeza ruficauda,rutant2,Rufous-tailed Antthrush
Chamaeza mollissima,barant2,Barred Antthrush
Sclerurus mexicanus,tatlea1,Middle American Leaftosser
Sclerurus obscurior,soalea1,South American Leaftosser
Sclerurus rufigularis,shblea1,Short-billed Leaftosser
Sclerurus guatemalensis,sctlea1,Scaly-throated Leaftosser
Sclerurus caudacutus,bltlea1,Black-tailed Leaftosser
Sclerurus albigularis,grtlea1,Gray-throated Leaftosser
Sclerurus scansor,rublea1,Rufous-breasted Leaftosser
Geositta peruviana,coamin1,Coastal Miner
Geositta tenuirostris,slbmin1,Slender-billed Miner
Geositta cunicularia,commin1,Common Miner
Geositta punensis,punmin1,Puna Miner
Geositta poeciloptera,cammin2,Campo Miner
Geositta crassirostris,thbmin1,Thick-billed Miner
Geositta rufipennis,rubmin1,Rufous-banded Miner
Geositta maritima,gramin1,Grayish Miner
Geositta antarctica,shbmin1,Short-billed Miner
Geositta saxicolina,dawmin1,Dark-winged Miner
Geositta isabellina,crrmin1,Creamy-rumped Miner
Certhiasomus stictolaemus,sptwoo1,Spot-throated Woodcreeper
Sittasomus griseicapillus,oliwoo1,Olivaceous Woodcreeper
Deconychura longicauda,lotwoo1,Long-tailed Woodcreeper
Dendrocincla tyrannina,tyrwoo1,Tyrannine Woodcreeper
Dendrocincla merula,whcwoo1,White-chinned Woodcreeper
Dendrocincla homochroa,rudwoo1,Ruddy Woodcreeper
Dendrocincla anabatina,tawwoo1,Tawny-winged Woodcreeper
Dendrocincla fuliginosa,plbwoo1,Plain-brown Woodcreeper
Dendrocincla turdina,plwwoo1,Plain-winged Woodcreeper
Glyphorynchus spirurus,webwoo1,Wedge-billed Woodcreeper
Dendrexetastes rufigula,citwoo1,Cinnamon-throated Woodcreeper
Nasica longirostris,lobwoo1,Long-billed Woodcreeper
Dendrocolaptes sanctithomae,nobwoo1,Northern Barred-Woodcreeper
Dendrocolaptes certhia,amabaw1,Amazonian Barred-Woodcreeper
Dendrocolaptes picumnus,blbwoo1,Black-banded Woodcreeper
Dendrocolaptes hoffmannsi,hofwoo2,Hoffmanns's Woodcreeper
Dendrocolaptes platyrostris,plawoo1,Planalto Woodcreeper
Hylexetastes stresemanni,babwoo1,Bar-bellied Woodcreeper
Hylexetastes perrotii,rebwoo1,Red-billed Woodcreeper
Hylexetastes uniformis,uniwoo1,Uniform Woodcreeper
Xiphocolaptes promeropirhynchus,stbwoo1,Strong-billed Woodcreeper
Xiphocolaptes falcirostris,mouwoo1,Moustached Woodcreeper
Xiphocolaptes albicollis,whtwoo1,White-throated Woodcreeper
Xiphocolaptes major,grrwoo1,Great Rufous Woodcreeper
Xiphorhynchus obsoletus,strwoo2,Striped Woodcreeper
Xiphorhynchus atlanticus,leswoo4,Ceara Woodcreeper
Xiphorhynchus fuscus,leswoo2,Lesser Woodcreeper
Xiphorhynchus pardalotus,chrwoo1,Chestnut-rumped Woodcreeper
Xiphorhynchus ocellatus,ocewoo1,Ocellated Woodcreeper
Xiphorhynchus elegans,elewoo1,Elegant Woodcreeper
Xiphorhynchus spixii,spiwoo1,Spix's Woodcreeper
Xiphorhynchus susurrans,cocwoo1,Cocoa Woodcreeper
Xiphorhynchus guttatus,butwoo1,Buff-throated Woodcreeper
Xiphorhynchus flavigaster,ivbwoo1,Ivory-billed Woodcreeper
Xiphorhynchus lachrymosus,blswoo1,Black-striped Woodcreeper
Xiphorhynchus erythropygius,spowoo1,Spotted Woodcreeper
Xiphorhynchus triangularis,olbwoo1,Olive-backed Woodcreeper
Dendroplex picus,stbwoo2,Straight-billed Woodcreeper
Dendroplex kienerii,zimwoo2,Zimmer's Woodcreeper
Campylorhamphus trochilirostris,rebscy1,Red-billed Scythebill
Campylorhamphus falcularius,blbscy1,Black-billed Scythebill
Campylorhamphus procurvoides,cubscy1,Curve-billed Scythebill
Campylorhamphus pusillus,brbscy1,Brown-billed Scythebill
Drymotoxeres pucheranii,grescy1,Greater Scythebill
Drymornis bridgesii,scbwoo4,Scimitar-billed Woodcreeper
Lepidocolaptes souleyetii,sthwoo1,Streak-headed Woodcreeper
