CATEGORY,SPECIES_CODE,PRIMARY_COM_NAME,SCI_NAME
species,blhduc1,Black-headed Duck,Heteronetta atricapilla
species,masduc,Masked Duck,Nomonyx dominicus
species,rudduc,Ruddy Duck,Oxyura jamaicensis
species,andduc1,Andean Duck,Oxyura ferruginea
species,whhduc1,White-headed Duck,Oxyura leucocephala
species,macduc1,Maccoa Duck,Oxyura maccoa
species,lakduc1,Lake Duck,Oxyura vittata
species,blbduc1,Blue-billed Duck,Oxyura australis
species,musduc1,Musk Duck,Biziura lobata
species,ausbrt1,Australian Brushturkey,Alectura lathami
species,watbrt1,Wattled Brushturkey,Aepypodius arfakianus
species,brubrt1,Waigeo Brushturkey,Aepypodius bruijnii
species,rebbrt1,Red-billed Brushturkey,Talegalla cuvieri
species,bkbbrt1,Yellow-legged Brushturkey,Talegalla fuscirostris
species,bncbrt1,Red-legged Brushturkey,Talegalla jobiensis
species,mallee1,Malleefowl,Leipoa ocellata
species,maleo1,Maleo,Macrocephalon maleo
species,molscr1,Moluccan Megapode,Eulipoa wallacei
species,niuscr1,Tongan Megapode,Megapodius pritchardii
species,micscr1,Micronesian Megapode,Megapodius laperouse
species,nicscr1,Nicobar Megapode,Megapodius nicobariensis
species,tabscr1,Philippine Megapode,Megapodius cumingii
species,sulscr1,Sula Megapode,Megapodius bernsteinii
species,tanscr1,Tanimbar Megapode,Megapodius tenimberensis
species,dusscr1,Dusky Megapode,Megapodius freycinet
species,dusscr3,Biak Megapode,Megapodius geelvinkianus
species,melscr1,Melanesian Megapode,Megapodius eremita
species,vanscr1,Vanuatu Megapode,Megapodius layardi
species,negscr1,New Guinea Megapode,Megapodius decollatus
species,orfscr1,Orange-footed Megapode,Megapodius reinwardt
species,placha,Plain Chachalaca,Ortalis vetula
species,grhcha1,Gray-headed Chachalaca,Ortalis cinereiceps
species,chwcha1,Chestnut-winged Chachalaca,Ortalis garrula
species,ruvcha1,Rufous-vented Chachalaca,Ortalis ruficauda
species,ruhcha1,Rufous-headed Chachalaca,Ortalis erythroptera
species,rubcha1,Rufous-bellied Chachalaca,Ortalis wagleri
species,wemcha1,West Mexican Chachalaca,Ortalis poliocephala
species,chacha1,Chaco Chachalaca,Ortalis canicollis
species,whbcha1,White-bellied Chachalaca,Ortalis leucogastra
species,colcha1,Colombian Chachalaca,Ortalis columbiana
species,specha3,Speckled Chachalaca,Ortalis guttata
species,specha2,East Brazilian Chachalaca,Ortalis araucuan
species,specha4,Scaled Chachalaca,Ortalis squamata
species,varcha1,Variable Chachalaca,Ortalis motmot
species,varcha3,Chestnut-headed Chachalaca,Ortalis ruficeps
species,bubcha1,Buff-browed Chachalaca,Ortalis superciliaris
species,batgua1,Band-tailed Guan,Penelope argyrotis
species,beagua1,Bearded Guan,Penelope barbata
species,baugua1,Baudo Guan,Penelope ortoni
species,andgua1,Andean Guan,Penelope montagnii
species,margua1,Marail Guan,Penelope marail
species,rumgua1,Rusty-margined Guan,Penelope superciliaris
species,refgua1,Red-faced Guan,Penelope dabbenei
species,spigua1,Spix's Guan,Penelope jacquacu
species,cregua1,Crested Guan,Penelope purpurascens
species,caugua1,Cauca Guan,Penelope perspicax
species,whwgua1,White-winged Guan,Penelope albipennis
species,dulgua1,Dusky-legged Guan,Penelope obscura
species,dulgua3,Yungas Guan,Penelope bridgesi
species,whcgua1,White-crested Guan,Penelope pileata
species,chbgua1,Chestnut-bellied Guan,Penelope ochrogaster
species,whbgua1,White-browed Guan,Penelope jacucaca
species,trpgua1,Trinidad Piping-Guan,Pipile pipile
species,butpig1,Blue-throated Piping-Guan,Pipile cumanensis
species,butpig2,White-throated Piping-Guan,Pipile grayi
species,rtpgua1,Red-throated Piping-Guan,Pipile cujubi
species,bfpgua1,Black-fronted Piping-Guan,Pipile jacutinga
species,watgua1,Wattled Guan,Aburria aburri
species,blagua1,Black Guan,Chamaepetes unicolor
species,siwgua1,Sickle-winged Guan,Chamaepetes goudotii
species,higgua1,Highland Guan,Penelopina nigra
species,horgua1,Horned Guan,Oreophasis derbianus
species,noccur1,Nocturnal Curassow,Nothocrax urumutum
species,crecur2,Crestless Curassow,Mitu tomentosum
species,salcur1,Salvin's Curassow,Mitu salvini
species,rabcur2,Razor-billed Curassow,Mitu tuberosum
species,alacur1,Alagoas Curassow,Mitu mitu
species,helcur1,Helmeted Curassow,Pauxi pauxi
species,horcur2,Sira Curassow,Pauxi koepckeae
species,horcur3,Horned Curassow,Pauxi unicornis
species,grecur1,Great Curassow,Crax rubra
species,bubcur1,Blue-billed Curassow,Crax alberti
species,yekcur1,Yellow-knobbed Curassow,Crax daubentoni
species,blacur1,Black Curassow,Crax alector
species,watcur1,Wattled Curassow,Crax globulosa
species,bafcur1,Bare-faced Curassow,Crax fasciolata
