scientificName,IUCN_Species_Code,IUCN_common_name,altcommonNames,Synonym
Aerodramus inquietus,22686576,Caroline Swiftlet,,Collocalia inquieta
Aerodramus leucophaeus,60838951,Polynesian Swiftlet,,Collocalia ocista
Aerodramus maximus,22686610,Black-nest Swiftlet,,Collocalia maxima
Aerodramus mearnsi,22686519,Philippine Swiftlet,,Collocalia mearnsi
Aerodramus nuditarsus,22728501,Bare-legged Swiftlet,,Collocalia nuditarsus
Aerodramus orientalis,22686555,Mayr's Swiftlet,,Collocalia orientalis
Aerodramus papuensis,22686552,Papuan Swiftlet,,Collocalia papuensis
Aerodramus pelewensis,22686573,Palau Swiftlet,,Collocalia pelewensis
Aerodramus salangana,22686558,Mossy-nest Swiftlet,,Collocalia salangana
Aerodramus sawtelli,22686581,Atiu Swiftlet,"Aitu Swiftlet, Sawtell's Swiftlet","Aerodramus sawtelli, Collocalia sawtelli"
Aerodramus spodiopygius,22686528,White-rumped Swiftlet,,
Aerodramus terraereginae,22686534,Australian Swiftlet,,
Aerodramus unicolor,22686516,Indian Swiftlet,,Collocalia unicolor
Aerodramus vanikorensis,60835335,Uniform Swiftlet,,"Collocalia amelis, Collocalia palawanensis"
Aerodramus vulcanorum,22686543,Volcano Swiftlet,,Collocalia vulcanorum
Aerodramus whiteheadi,22686549,Whitehead's Swiftlet,,Collocalia whiteheadi
Aeronautes andecolus,22686739,Andean Swift,,
Aeronautes montivagus,22686736,White-tipped Swift,,
Aeronautes saxatalis,22686733,White-throated Swift,,
Aethia cristatella,22694915,Crested Auklet,,
Aethia psittacula,22694906,Parakeet Auklet,,Cyclorrhynchus psittacula psittacula
Aethia pusilla,22694921,Least Auklet,,
Aethia pygmaea,22694918,Whiskered Auklet,,
Aethomyias arfakianus,22704576,Grey-green Scrubwren,,Sericornis arfakianus
Aethomyias nigrorufus,22704527,Bicoloured Scrubwren,"Bicolored Mouse-warbler, Bicolored Mouse Warbler, Bicoloured Mouse-warbler",Crateroscelis nigrorufa
Aethomyias papuensis,22704579,Papuan Scrubwren,,Sericornis papuensis
Aethomyias perspicillatus,22704573,Buff-faced Scrubwren,,Sericornis perspicillatus
Aethomyias rufescens,22704570,Vogelkop Scrubwren,,Sericornis rufescens
Aethomyias spilodera,22704582,Pale-billed Scrubwren,,Sericornis spilodera
Aethopyga bella,22732130,Handsome Sunbird,,
Aethopyga boltoni,22718059,Apo Sunbird,,
Aethopyga christinae,103810484,Hainan Sunbird,,
Aethopyga duyvenbodei,22718068,Elegant Sunbird,"Duyvenbode’s Sunbird, Sanghir Sunbird",
Aethopyga eximia,22718084,White-flanked Sunbird,,
Aethopyga flagrans,103805010,Flaming Sunbird,,
Aethopyga gouldiae,22718077,Gould's Sunbird,Mrs. Gould's Sunbird,
Aethopyga guimarasensis,103809131,Maroon-naped Sunbird,,
Aethopyga ignicauda,22718100,Fire-tailed Sunbird,,
Aethopyga latouchii,103810497,Fork-tailed Sunbird,,
Aethopyga linaraborae,22724518,Lina's Sunbird,,
Aethopyga magnifica,103810377,Magnificent Sunbird,,
Aethopyga mystacalis,103804351,Javan Sunbird,,
Aethopyga nipalensis,22718081,Green-tailed Sunbird,,
Aethopyga primigenia,22718048,Grey-hooded Sunbird,,Aethopyga primigenius primigenius
Aethopyga pulcherrima,22718065,Metallic-winged Sunbird,,
Aethopyga saturata,22718090,Black-throated Sunbird,,
Aethopyga shelleyi,22734230,Lovely Sunbird,,
Aethopyga siparaja,103804411,Crimson Sunbird,,
Aethopyga temminckii,103804369,Temminck's Sunbird,,
Aethopyga vigorsii,103804493,Sahyadri Sunbird,,
Afropavo congensis,22679430,Congo Peafowl,Congo Peacock,
Afrotis afra,22691975,Southern Black Bustard,,Eupodotis afra
Afrotis afraoides,22691970,Northern Black Bustard,,Eupodotis afraoides
Agamia agami,22697200,Agami Heron,,
Agapornis canus,22685326,Grey-headed Lovebird,,
Agapornis fischeri,22685346,Fischer's Lovebird,,
Agapornis lilianae,22685356,Nyasa Lovebird,,
Agapornis nigrigenis,22685360,Black-cheeked Lovebird,,
Agapornis personatus,22685352,Yellow-collared Lovebird,,
Agapornis pullarius,22685330,Red-headed Lovebird,,
Agapornis roseicollis,22685342,Rosy-faced Lovebird,,
Agapornis swindernianus,22685338,Black-collared Lovebird,,
Agapornis taranta,22685334,Black-winged Lovebird,,
Agelaioides badius,103794964,Greyish Baywing,Bay-winged Cowbird,
Agelaioides fringillarius,103795103,Pale Baywing,,
Agelaius assimilis,22729118,Red-shouldered Blackbird,,
Agelaius humeralis,22724206,Tawny-shouldered Blackbird,,
Agelaius phoeniceus,22724191,Red-winged Blackbird,,
Agelaius tricolor,22724196,Tricolored Blackbird,Tricoloured Blackbird,
Agelaius xanthomus,22724209,Yellow-shouldered Blackbird,,
Agelastes meleagrides,22679545,White-breasted Guineafowl,,
Agelastes niger,22679551,Black Guineafowl,,
Agelasticus cyanopus,22724184,Unicolored Blackbird,Unicoloured Blackbird,Agelaius cyanopus
Agelasticus thilius,22724178,Yellow-winged Blackbird,,Agelaius thilius
Agelasticus xanthophthalmus,22724172,Pale-eyed Blackbird,,Agelaius xanthophthalmus
Aglaeactis aliciae,22687794,Purple-backed Sunbeam,,
Aglaeactis castelnaudii,22687791,White-tufted Sunbeam,,
Aglaeactis cupripennis,22687788,Shining Sunbeam,,
Aglaeactis pamela,22687798,Black-hooded Sunbeam,,
Aglaiocercus berlepschi,22733891,Venezuelan Sylph,,
Aglaiocercus coelestis,22688059,Violet-tailed Sylph,,
Aglaiocercus kingii,22733886,Long-tailed Sylph,,Aglaiocercus kingi
Agraphospiza rubescens,22720546,Blanford's Rosefinch,Crimson Rosefinch,Carpodacus rubescens
Agricola infuscatus,22709040,Chat-flycatcher,Chat Flycatcher,Bradornis infuscatus
Agricola pallidus,22709035,Pale Flycatcher,Pallid Flycatcher,Bradornis pallidus
