species,Longitude,Latitude,elevation,year,month,day,LocLevel0,LocLevel1,LocLevel2,LocLevel3
Fregata magnificens,-91.31836,-0.692808,,2021,6,22,Ecuador,Galápagos,Isabela,Tomas De Berlanga (Santo Tomas)
Ardea alba,-91.31836,-0.692808,,2021,6,22,Ecuador,Galápagos,Isabela,Tomas De Berlanga (Santo Tomas)
Setophaga petechia,-91.31836,-0.692808,,2021,6,22,Ecuador,Galápagos,Isabela,Tomas De Berlanga (Santo Tomas)
Puffinus subalaris,-91.31836,-0.692808,,2021,6,22,Ecuador,Galápagos,Isabela,Tomas De Berlanga (Santo Tomas)
Sula nebouxii,-91.31836,-0.692808,,2021,6,22,Ecuador,Galápagos,Isabela,Tomas De Berlanga (Santo Tomas)
Butorides striata,-91.31836,-0.692808,,2021,6,22,Ecuador,Galápagos,Isabela,Tomas De Berlanga (Santo Tomas)
Spheniscus mendiculus,-91.31836,-0.692808,,2021,6,22,Ecuador,Galápagos,Isabela,Tomas De Berlanga (Santo Tomas)
Phalacrocorax harrisi,-91.31836,-0.692808,,2021,6,22,Ecuador,Galápagos,Isabela,Tomas De Berlanga (Santo Tomas)
Puffinus subalaris,-91.31836,-0.692808,,2021,6,22,Ecuador,Galápagos,Isabela,Tomas De Berlanga (Santo Tomas)
Oceanites gracilis,-91.31836,-0.692808,,2021,6,22,Ecuador,Galápagos,Isabela,Tomas De Berlanga (Santo Tomas)
Fregata magnificens,-91.31836,-0.692808,,2021,6,22,Ecuador,Galápagos,Isabela,Tomas De Berlanga (Santo Tomas)
Pelecanus occidentalis,-91.31836,-0.692808,,2021,6,22,Ecuador,Galápagos,Isabela,Tomas De Berlanga (Santo Tomas)
Sula nebouxii,-91.31836,-0.692808,,2021,6,22,Ecuador,Galápagos,Isabela,Tomas De Berlanga (Santo Tomas)
Tringa incana,-90.96559,-0.956961,,2021,6,23,Ecuador,Galápagos,Isabela,Puerto Villamil
Setophaga petechia,-90.96559,-0.956961,,2021,6,23,Ecuador,Galápagos,Isabela,Puerto Villamil
Spheniscus mendiculus,-90.96559,-0.956961,,2021,6,23,Ecuador,Galápagos,Isabela,Puerto Villamil
